source ID,target ID
G0070,T1566.003
G0070,T1071.001
G0070,T1059.003
G0079,T1187
G0079,T1564.003
G0079,T1204.002
G0079,T1059.001
G0079,T1566.001
G0079,T1221
G0079,T1588.002
G0105,T1110
G0105,T1200
G0105,T1046
G0105,T1135
G0105,T1040
G0105,T1571
G0105,T1059.001
G0105,T1219
G0105,T1588.002
G0105,T1543.003
G0012,T1553.002
G0012,T1140
G0012,T1189
G0012,T1203
G0012,T1083
G0012,T1105
G0012,T1056.001
G0012,T1204.002
G0012,T1036.005
G0012,T1027
G0012,T1057
G0012,T1547.001
G0012,T1091
G0012,T1518.001
G0012,T1547.009
G0012,T1566.001
G0012,T1573.001
G0012,T1497.001
G0012,T1082
G0012,T1016
G0012,T1124
G0012,T1080
G0012,T1497.002
G0012,T1497
G0012,T1059.003
G0009,T1546.008
G0009,T1564.003
G0009,T1027.005
G0009,T1059.001
G0009,T1057
G0009,T1218.010
G0009,T1018
G0009,T1021.002
G0009,T1505.003
G0009,T1047
G0035,T1195.002
G0035,T1189
G0035,T1566
G0035,T1588.002
G0074,T1098
G0074,T1071
G0074,T1560
G0074,T1070.001
G0074,T1059
G0074,T1005
G0074,T1562.004
G0074,T1087.002
G0074,T1069.002
G0074,T1189
G0074,T1133
G0074,T1070.004
G0074,T1083
G0074,T1187
G0074,T1564.002
G0074,T1105
G0074,T1003.004
G0074,T1136.001
G0074,T1074.001
G0074,T1204.002
G0074,T1204.001
G0074,T1036
G0074,T1112
G0074,T1003.003
G0074,T1135
G0074,T1110.002
G0074,T1059.001
G0074,T1059.006
G0074,T1012
G0074,T1547.001
G0074,T1021.001
G0074,T1114.002
G0074,T1018
G0074,T1053.005
G0074,T1113
G0074,T1003.002
G0074,T1547.009
G0074,T1566.001
G0074,T1566.002
G0074,T1016
G0074,T1033
G0074,T1221
G0074,T1078
G0074,T1505.003
G0074,T1059.003
G0031,T1005
G0031,T1083
G0031,T1027
G0066,T1189
G0066,T1203
G0066,T1105
G0066,T1204.002
G0066,T1204.001
G0066,T1027
G0066,T1027.002
G0066,T1566.001
G0066,T1566.002
G0020,T1542.002
G0020,T1480.001
G0020,T1564.005
G0020,T1120
G0120,T1548.002
G0120,T1555
G0120,T1574.001
G0120,T1070.004
G0120,T1105
G0120,T1059.007
G0120,T1204.001
G0120,T1219
G0120,T1566.002
G0120,T1539
G0120,T1497.001
G0051,T1070.004
G0051,T1570
G0051,T1078.003
G0051,T1059.001
G0051,T1547.001
G0051,T1021.001
G0051,T1053.005
G0051,T1033
G0051,T1588.002
G0051,T1078
G0051,T1059.003
G0085,T1564.008
G0085,T1056.002
G0085,T1056.001
G0085,T1204.002
G0085,T1204.001
G0085,T1090.003
G0085,T1114.002
G0085,T1566.001
G0085,T1566.002
G0085,T1078
G0085,T1059.005
G0085,T1071.001
G0053,T1119
G0053,T1110
G0053,T1070.001
G0053,T1059
G0053,T1090.002
G0053,T1133
G0053,T1070.004
G0053,T1074.001
G0053,T1018
G0053,T1588.002
G0053,T1078
G0037,T1134
G0037,T1560
G0037,T1560.003
G0037,T1573.002
G0037,T1119
G0037,T1553.002
G0037,T1059
G0037,T1555
G0037,T1555.003
G0037,T1213
G0037,T1005
G0037,T1562.001
G0037,T1087.002
G0037,T1048.003
G0037,T1068
G0037,T1070.004
G0037,T1059.007
G0037,T1003.001
G0037,T1204.002
G0037,T1036.004
G0037,T1003.003
G0037,T1046
G0037,T1095
G0037,T1027
G0037,T1110.002
G0037,T1059.001
G0037,T1572
G0037,T1547.001
G0037,T1074.002
G0037,T1021.001
G0037,T1018
G0037,T1053.005
G0037,T1569.002
G0037,T1566.001
G0037,T1566.003
G0037,T1588.002
G0037,T1078
G0037,T1102
G0037,T1059.003
G0037,T1047
G0046,T1546.011
G0046,T1102.002
G0046,T1553.002
G0046,T1059
G0046,T1071.004
G0046,T1486
G0046,T1005
G0046,T1583.001
G0046,T1559.002
G0046,T1567.002
G0046,T1210
G0046,T1008
G0046,T1105
G0046,T1059.007
G0046,T1558.003
G0046,T1204.002
G0046,T1204.001
G0046,T1587.001
G0046,T1036.004
G0046,T1036.005
G0046,T1218.005
G0046,T1571
G0046,T1027
G0046,T1059.001
G0046,T1547.001
G0046,T1021.001
G0046,T1021.004
G0046,T1053.005
G0046,T1113
G0046,T1566.001
G0046,T1566.002
G0046,T1497.002
G0046,T1021.005
G0046,T1078
G0046,T1125
G0046,T1059.005
G0046,T1059.003
G0046,T1047
G0046,T1543.003
G0061,T1560.001
G0061,T1573.002
G0061,T1055.004
G0061,T1070.001
G0061,T1482
G0061,T1048.003
G0061,T1068
G0061,T1070.004
G0061,T1105
G0061,T1003.001
G0061,T1204.002
G0061,T1204.001
G0061,T1112
G0061,T1027
G0061,T1059.001
G0061,T1074.002
G0061,T1021.001
G0061,T1018
G0061,T1021.002
G0061,T1053.005
G0061,T1518.001
G0061,T1566.001
G0061,T1566.002
G0061,T1134.001
G0061,T1078
G0061,T1071.001
G0061,T1102
G0061,T1059.003
G0061,T1047
G0061,T1546.003
G0137,T1583.001
G0137,T1204.002
G0137,T1036.005
G0137,T1036.002
G0137,T1566.001
G0137,T1588.002
G0117,T1546.008
G0117,T1560.001
G0117,T1217
G0117,T1110
G0117,T1059
G0117,T1552.001
G0117,T1530
G0117,T1213
G0117,T1005
G0117,T1039
G0117,T1087.002
G0117,T1585
G0117,T1190
G0117,T1210
G0117,T1083
G0117,T1105
G0117,T1003.001
G0117,T1087.001
G0117,T1136.001
G0117,T1036.004
G0117,T1036.005
G0117,T1003.003
G0117,T1046
G0117,T1027
G0117,T1555.005
G0117,T1059.001
G0117,T1572
G0117,T1090
G0117,T1012
G0117,T1021.001
G0117,T1018
G0117,T1021.002
G0117,T1021.004
G0117,T1053.005
G0117,T1585.001
G0117,T1021.005
G0117,T1078
G0117,T1102
G0117,T1505.003
G0117,T1059.003
G0101,T1119
G0101,T1020
G0101,T1005
G0101,T1140
G0101,T1041
G0101,T1203
G0101,T1105
G0101,T1127.001
G0101,T1204.002
G0101,T1003
G0101,T1027
G0101,T1059.001
G0101,T1057
G0101,T1053.005
G0101,T1518.001
G0101,T1566.001
G0101,T1573.001
G0101,T1497.001
G0101,T1082
G0101,T1016
G0101,T1033
G0101,T1221
G0101,T1588.002
G0101,T1059.005
G0101,T1059.003
G0101,T1047
G0093,T1560.001
G0093,T1553.002
G0093,T1574.002
G0093,T1005
G0093,T1136.002
G0093,T1041
G0093,T1190
G0093,T1090.002
G0093,T1133
G0093,T1027.005
G0093,T1105
G0093,T1003.001
G0093,T1570
G0093,T1074.001
G0093,T1027
G0093,T1550.002
G0093,T1059.001
G0093,T1018
G0093,T1036.003
G0093,T1053.005
G0093,T1003.002
G0093,T1583.004
G0093,T1027.002
G0093,T1016
G0093,T1049
G0093,T1033
G0093,T1588.002
G0093,T1078
G0093,T1505.003
G0093,T1059.003
G0093,T1047
G0036,T1021.004
G0036,T1021.005
G0115,T1195.002
G0115,T1190
G0115,T1133
G0115,T1027
G0115,T1566
G0115,T1059.001
G0115,T1219
G0115,T1113
G0115,T1199
G0084,T1560.001
G0084,T1559.002
G0084,T1204.002
G0084,T1027
G0084,T1059.001
G0084,T1566.001
G0047,T1119
G0047,T1020
G0047,T1027.001
